ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;1;73378809;257696617;1109381504;34335616
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.707107;75333182;273978560;1109335424;34099008
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.5;76444861;269313276;1109377024;34062720
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.353553;79121901;268151579;1109584000;34225024
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.25;78248944;266549517;1109588352;34147776
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.176777;76545849;273079747;1109433152;34117952
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.125;76657951;271156330;1109471360;34201216
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.0883883;76099580;277169707;1109536640;34256896
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.0625;77487220;281118876;1109376960;34288320
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.0441942;83990156;286498639;1109498496;34342016
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.03125;88461523;300816280;1109382784;34289152
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.0220971;87347449;316632134;1109535552;34293952
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.015625;87564073;309801872;1109047744;34341760
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.0110485;87771924;300561283;1107045504;34230080
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.0078125;89021619;304457112;1098878272;34147712
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.00552427;94181101;322220994;1068106432;34019136
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.00390625;98401228;337635686;988170176;33820544
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.00276214;99374121;352002247;857548736;33557952
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.00195312;95369736;337148627;728238656;32858240
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.00138107;95369736;468553633;639435904;30672832
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.000976562;83165738;303511768;572319808;30525824
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.000690534;80196706;273520081;526050368;28053056
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.000488281;73892710;269656499;492623104;27102144
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.000345267;72680273;246118606;466266368;25016832
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.000244141;70790917;238500768;446470784;22702336
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.000172633;68530279;270764463;460705344;25145280
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.00012207;65674398;229984218;434784000;24485056
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.00008631674575031082;63677448;232231383;428606080;24029632
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.00006103515624999988;65377472;219416833;424546752;23897664
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.00004315837287515540;64998430;217952775;421152320;23789824
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.00003051757812499994;63070638;221678512;420438528;23680768
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.00002157918643757770;62576557;219691202;417259328;23461440
ByteSlicing-avx2;scan_range_to_bv;32;33554432;8;0.00001525878906249997;62820640;219738653;417622272;23464704
ByteSlicing-avx2;scan_range_to_bv;24;33554432;8;1;62053368;207152324;840620864;33819968
ByteSlicing-avx2;scan_range_to_bv;24;33554432;8;0.707107;62360187;207458368;840629248;33565632
ByteSlicing-avx2;scan_range_to_bv;24;33554432;8;0.5;62545407;209634735;840700416;33528384
ByteSlicing-avx2;scan_range_to_bv;24;33554432;8;0.353553;60476404;211232829;840654464;33482816
ByteSlicing-avx2;scan_range_to_bv;24;33554432;8;0.25;62109055;208281214;840762624;33534144
ByteSlicing-avx2;scan_range_to_bv;24;33554432;8;0.176777;60549510;213152308;840826112;33570048
ByteSlicing-avx2;scan_range_to_bv;24;33554432;8;0.125;60005847;218013002;840780992;33686784
